Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,geoid,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,relation_max_fee,relation_min_fee
1352.03,0.03,0,0.07,0.09,0.03,0.06,0.03,0.07,0.11,0.16,0.22,0.09,0.07,0.02,0.02,0.96,0.77,0,0,0.17,0.1,0.12,0.02,0.44,0.33,0.03,0,0.78,0.05,0.23,0.23,0.02,0.03,0.47,0.25,0.2,0.75,0.02,0,0.18,0.07,503,1015,36.5,115519,126517,2532,0,0,6.2,636600,2881,741,2706,7652,2238,2157,2532,7674,90.8,45.2,135203,6037135203,0,0,3,CA,4501416,0,1.738,0,34.1918593,-118.6570809,3500,2417
1352.02,0.07,0,0.05,0.1,0.02,0.12,0.03,0.05,0.15,0.14,0.25,0.03,0.02,0.05,0.04,0.95,0.76,0,0,0.17,0.08,0.19,0.01,0.48,0.3,0.02,0,0.8,0.14,0.35,0.28,0.03,0.03,0.4,0.22,0.19,0.7,0.03,0.01,0.16,0.15,283,807,31,108500,122724,1548,0.4,0,6.1,620900,2536,683,3244,4558,1171,1127,1470,4597,94.4,43.2,135202,6037135202,0,0,3,CA,1762612,0,0.681,0,34.1888179,-118.6369084,3500,2276
1352.01,0.01,0,0.03,0.04,0.02,0.14,0.01,0.04,0.13,0.11,0.3,0.11,0.05,0.02,0.02,0.97,0.77,0,0,0.2,0.16,0.23,0.08,0.41,0.31,0,0.02,0.73,0.05,0.38,0.26,0.04,0.02,0.49,0.21,0.22,0.64,0.1,0,0.17,0.16,164,498,31.5,107407,124122,951,0,6.6,6.3,641000,2877,598,2479,2819,703,684,912,2900,90,40.9,135201,6037135201,0,0,3,CA,1531444,351,0.591,0,34.1903616,-118.6261323,3250,1426
1351.14,0.17,0.01,0.05,0.1,0.01,0.07,0.02,0.03,0.18,0.3,0.09,0.14,0.02,0,0.08,0.94,0.72,0,0,0.87,0.29,0.49,0.15,0.28,0,0.03,0.05,0.77,0.34,0.47,0.43,0.03,0.03,0.64,0.21,0.16,0.61,0.04,0,0.3,0.11,236,362,26.4,60101,89019,2859,0,7.6,3.1,456900,2269,934,1780,5019,2317,2217,2634,5019,99.2,31.7,135114,6037135114,0,0,0,CA,1265333,4641,0.489,0.002,34.1904438,-118.603662,2276,1113
1351.13,0.04,0.01,0.07,0.01,0.01,0.08,0.01,0.03,0.12,0.3,0.24,0.08,0.04,0.01,0.02,0.95,0.81,0,0,0.83,0.33,0.44,0.08,0.28,0.15,0.08,0.01,0.19,0.1,0.32,0.35,0.04,0.03,0.48,0.27,0.19,0.58,0.07,0,0.14,0.19,320,323,22.6,75833,91057,1512,0,1.8,3.7,242400,1427,336,2255,3268,1212,1212,1392,3268,89.8,35.9,135113,6037135113,0,0,0,CA,643610,0,0.248,0,34.1810129,-118.6059583,2276,1426
1351.11,0.03,0,0.02,0.1,0,0.05,0.02,0.02,0.21,0.15,0.19,0.15,0.08,0.01,0.01,0.94,0.74,0,0,0.43,0.17,0.27,0.04,0.37,0.25,0.05,0.01,0.85,0,0.41,0.27,0.02,0.06,0.5,0.14,0.12,0.62,0.03,0,0.27,0.21,334,401,28.1,100911,113513,1206,0,2,5.5,539900,2336,620,1426,3463,1495,1387,1145,3496,92,37,135111,6037135111,0,0,0,CA,1026009,13694,0.396,0.005,34.1924609,-118.6102388,2276,1113
1351.02,0.06,0,0.02,0.06,0.02,0.08,0.03,0.05,0.15,0.17,0.24,0.1,0.05,0.03,0,0.95,0.8,0,0,0.19,0.14,0.24,0.02,0.5,0.24,0.01,0.01,0.83,0,0.41,0.29,0.03,0.03,0.52,0.17,0.17,0.73,0.05,0.01,0.12,0.16,187,536,33.3,127721,143280,1270,0,0,6.2,628100,2963,634,2276,3782,1364,1318,1215,3924,89.6,40.2,135102,6037135102,0,0,3,CA,1653268,15193,0.638,0.006,34.1886366,-118.6174552,2479,1426
1349.04,0.04,0.01,0.07,0.12,0.01,0.14,0.04,0.01,0.11,0.08,0.16,0.13,0.11,0,0.06,0.87,0.55,0,0,0.55,0.1,0.27,0.09,0.28,0.24,0.09,0.05,0.76,0.22,0.53,0.39,0.1,0.12,0.26,0.11,0.12,0.43,0.04,0.01,0.1,0.56,170,595,25.1,44774,74012,1479,0,3,4.6,466900,2337,692,1116,4227,1777,1761,1407,4272,109.5,36.7,134904,6037134904,0,0,0,CA,1031889,7874,0.398,0.003,34.1914626,-118.5803105,3060,1188
1349.03,0.06,0,0.07,0.08,0.02,0.1,0.04,0.08,0.08,0.18,0.18,0.15,0.03,0.01,0.07,0.88,0.53,0.04,0.16,1,0.37,0.48,0.06,0.35,0.07,0.09,0.04,0.7180639535,0.29,0.54,0.46,0.08,0.03,0.35,0.1,0.06,0.53,0.07,0,0.17,0.45,646,583,31.7,63185,76473,2877,1.072093023,2.8,3.2,569234.4683,2403.218731,607.7262533,1738,6435,3306,3211,2614,6435,106.3,29.3,134903,6037134903,0,0,0,CA,564484,1794,0.218,0.001,34.1924692,-118.5916957,1780,1116
1349.01,0.04,0,0.02,0.08,0.03,0.11,0.01,0.04,0.08,0.15,0.27,0.06,0.09,0.07,0.1,0.95,0.71,0,0,0.4,0.07,0.33,0.07,0.44,0.18,0.04,0,0.79,0.2,0.32,0.33,0.09,0.03,0.43,0.16,0.2,0.82,0.04,0,0.07,0.26,158,506,35.4,68382,86506,1166,0,6.6,5.6,581000,2706,535,1335,3119,1204,1124,1134,3119,78,40.6,134901,6037134901,0,0,0,CA,1053137,8888,0.407,0.003,34.1873507,-118.5606591,2162,1116
