,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG                                                                                                                             ,INTPTLAT,geoid
1589,285.0,755.0,41.1,1263.0,104.17,0.28,1584.0,0.81,4.9,0.2,73526.0,460900.0,39.8,1958.0,4.4,1406.0,0.44,0.14,832.0,2442.0,129.0,0.0,-73.9015157,40.7208648,36081052100.0
1590,226.0,718.0,33.9,1517.0,97.04,0.24,1584.0,0.73,4.6,0.24,91760.0,550700.0,39.3,1864.0,4.944467353951887,1263.0,0.47,0.12,726.0,2414.0,170.0,0.0,-73.9066375,40.7189703,36081052500.0
1591,371.0,981.0,39.4,1317.0,90.06,0.39,1549.0,0.01,5.9,0.03,73311.0,383200.0,55.1,2389.0,4.944467353951887,1321.0,0.29,0.07,688.0,2417.0,138.0,0.0,-73.7525403,40.6963382,36081053000.0
1592,383.0,1257.0,36.8,1311.0,109.91,0.18,1584.0,0.78,4.2,0.34,68135.0,464900.0,46.9,2943.0,2.8,1263.0,0.6,0.13,694.0,2519.0,95.0,0.0,-73.9083341,40.7230578,36081053100.0
1593,227.0,661.0,39.1,1534.0,80.62,0.43,1431.0,0.03,5.8,0.09,101217.0,373900.0,55.3,1994.0,4.944467353951887,1092.0,0.22,0.06,771.0,2268.0,208.0,1.0,-73.749092,40.7001025,36081053200.0
1594,248.0,895.0,46.4,1012.0,81.78,0.4,1548.0,0.04,6.1,0.04,81883.0,381700.0,50.6,1956.0,4.944467353951887,1094.0,0.21,0.05,790.0,2124.0,67.0,0.0,-73.7441493,40.6998291,36081053401.0
1595,314.0,586.0,32.1,1473.0,93.26,0.07,1517.0,0.64,4.2,0.72,60823.0,469800.0,42.5,1405.0,3.2,758.0,0.64,0.22,630.0,2598.0,135.0,1.0,-73.9189517,40.7159321,36081053500.0
1596,272.0,966.0,39.7,1260.0,109.3,0.35,1534.0,0.04,6.1,0.13,77071.0,403100.0,49.2,1913.0,4.944467353951887,1092.0,0.19,0.11,742.0,2363.0,33.0,0.0,-73.7458711,40.7067119,36081053601.0
1597,222.0,727.0,36.2,1094.0,63.86,0.33,1548.0,0.01,5.9,0.06,86741.0,386400.0,45.5,1696.0,4.944467353951887,1012.0,0.18,0.07,775.0,2204.0,133.0,0.0,-73.7425304,40.7064789,36081053800.0
1598,544.0,1880.0,34.5,1383.0,110.34,0.3,1473.0,0.67,4.5,0.43,75645.0,516900.0,36.8,4413.0,4.944467353951887,1213.0,0.57,0.1,784.0,2741.0,292.0,0.0,-73.9165504,40.7105131,36081053900.0
1599,570.0,2538.0,36.3,1406.0,96.49,0.28,1648.0,0.04,5.7,0.16,70994.0,406500.0,51.7,4535.0,2.9,1094.0,0.41,0.03,595.0,2298.0,317.0,0.0,-73.7432268,40.7127991,36081054000.0
1600,748.0,2842.0,36.9,1417.0,87.21,0.26,1514.0,0.24,5.9,0.19,83639.0,423200.0,53.4,5429.0,8.4,1092.0,0.26,0.07,800.0,2573.0,348.0,0.0,-73.7464904,40.7190744,36081054200.0
1601,609.0,2126.0,30.2,1334.0,90.58,0.19,1403.0,0.81,4.3,0.68,63018.0,567900.0,38.1,4126.0,1.3,1213.0,0.87,0.18,1306.0,3318.0,316.0,0.0,-73.9126214,40.7055479,36081054500.0
1602,648.0,2430.0,31.7,1364.0,103.36,0.16,1403.0,0.74,4.7,0.65,73020.0,546300.0,41.6,4909.0,3.8,1213.0,0.76,0.14,1015.0,3023.0,413.0,0.0,-73.9097111,40.7036294,36081054700.0
1603,244.0,1448.0,40.1,1328.0,95.27,0.27,1514.0,0.13,5.8,0.18,82820.0,444500.0,44.3,2351.0,4.944467353951887,1221.0,0.16,0.06,668.0,2605.0,203.0,0.0,-73.7512827,40.7231977,36081054800.0
1604,901.0,2818.0,29.2,1403.0,117.33,0.16,1371.0,0.85,4.7,0.74,59221.0,582861.2010443864,38.9,5807.0,5.0,1289.0,0.97,0.19,835.5364006988934,2637.827457264957,600.0,0.0,-73.9078131,40.702191,36081054900.0
1605,556.0,2150.0,35.5,1318.0,99.71,0.22,1404.0,0.78,4.7,0.38,72744.0,445300.0,40.4,4745.0,3.1,1302.0,0.9,0.13,1065.0,3542.0,456.0,0.0,-73.9039117,40.7015951,36081055100.0
1606,283.0,1599.0,42.1,1354.0,86.59,0.31,1540.0,0.18,4.1,0.22,69430.0,556100.0,55.2,2950.0,4.944467353951887,1328.0,0.57,0.11,827.0,2896.0,146.0,0.0,-73.7496567,40.7277874,36081055200.0
1607,469.0,1203.0,29.1,1371.0,85.21,0.12,1428.0,0.66,4.5,0.56,66025.0,495800.0,37.0,2554.0,3.8,1289.0,0.85,0.17,600.0,2684.0,61.0,1.0,-73.9065464,40.6989501,36081055300.0
1608,320.0,1295.0,43.2,1540.0,85.2,0.38,1648.0,0.27,5.3,0.25,74559.0,444300.0,45.1,2302.0,4.944467353951887,1196.0,0.42,0.07,679.0,2201.0,110.0,0.0,-73.7401593,40.7277903,36081055400.0
1609,340.0,964.0,34.0,1312.0,109.28,0.13,1473.0,0.82,4.7,0.72,59895.0,571100.0,38.5,2233.0,1.7,1306.0,0.79,0.15,730.0,2844.0,163.0,0.0,-73.9032791,40.6972245,36081055500.0
1610,240.0,1562.0,45.2,1514.0,94.12,0.4,1417.0,0.16,5.5,0.15,88754.0,415500.0,40.4,2345.0,4.2,1328.0,0.17,0.1,663.0,2202.0,42.0,0.0,-73.7450034,40.7255507,36081055600.0
1611,428.0,1613.0,32.7,1306.0,92.85,0.19,1473.0,0.81,4.4,0.51,61190.0,435200.0,42.8,3452.0,9.0,1312.0,0.76,0.12,716.0,2705.0,204.0,0.0,-73.8983147,40.6986896,36081055700.0
1612,280.0,525.0,29.4,1359.0,95.84,0.14,1473.0,0.65,4.3,0.81,60116.0,457100.0,38.0,1365.0,2.3,1306.0,0.8,0.33,835.5364006988934,3007.0,110.0,1.0,-73.9017311,40.694404,36081055900.0
1613,243.0,623.0,36.9,1464.0,110.59,0.24,1648.0,0.24,4.6,0.27,66388.0,422000.0,37.5,1432.0,15.0,1299.0,0.67,0.1,936.0,2529.0,134.0,0.0,-73.7334063,40.7215544,36081056400.0
1614,271.0,573.0,37.2,1473.0,112.97,0.33,1404.0,0.91,5.0,0.78,74932.0,474700.0,37.1,1527.0,4.944467353951887,1306.0,0.57,0.08,631.0,3056.0,91.0,0.0,-73.8968742,40.6942629,36081056500.0
1615,692.0,1635.0,40.4,1449.0,98.0,0.18,1397.0,0.73,5.3,0.53,98117.0,475800.0,36.1,4552.0,14.9,1208.0,0.33,0.13,797.0,2751.0,248.0,0.0,-73.8921828,40.6968663,36081056700.0
1616,606.0,1690.0,35.7,1208.0,92.54,0.27,1449.0,0.82,4.6,0.42,66903.0,547700.0,38.5,4001.0,3.0,1321.0,0.72,0.18,863.0,2377.0,91.0,0.0,-73.8907145,40.7003929,36081057700.0
