tract_id,house_num,shape_area,shape_length,target
17031740300,2966,4606702.933047965,444325.7698474795,0
17031750200,1223,2688704.519771086,220850.68992925552,0
17031750300,1265,2131253.948297277,202732.22715670272,0
17031750400,1777,3102066.0804383117,289584.7850819703,0
17031750500,2291,8858692.528430294,450636.4751363572,0
17031750600,2022,3681897.01654912,335894.9959927685,0
17031760801,199,4299911.242624925,105709.34624234927,0
17031760803,537,2578461.360925745,152506.2330367275,0
17031770902,1567,3744980.6667940784,293493.156511193,0
17031810400,2738,6177502.475846304,506289.13375220005,0
17031821402,1784,3790215.482759731,297821.9061068536,0
17031830600,534,5348783.206924916,165600.5358551572,0
17031830700,178,2075879.8605225226,71510.22702271154,0
17031830800,220,1679937.9128912322,76310.39084389413,0
17031830900,645,5984997.908962382,187777.25850880655,0
17031831000,207,725222.2812422687,48197.747154602446,0
17031831100,1690,6720323.032384919,351333.8446804817,0
17031831200,979,3033450.881798558,194310.9945943007,0
17031831300,396,2871278.003071355,93400.5708325693,0
17031831500,1328,4844549.805659379,258635.37833358487,0
17031831600,2431,6298775.636245256,439345.42984673905,0
17031831700,823,2185242.0130935274,138698.62470378308,0
17031831800,1683,6759119.564935297,371468.89781747136,0
17031831900,321,968072.2752656436,71665.45084830732,0
17031832000,89,538049.4520298782,27007.505816330446,0
17031832100,119,1062428.841798154,45331.768348725906,0
17031832200,396,978549.361002498,77940.87050977774,0
17031832300,297,2599418.702226941,96739.58664127513,0
17031832400,587,1584238.283623722,113823.0432257695,0
17031832500,288,3025313.044288967,110018.93302198453,0
17031832600,358,2586883.459450969,109612.7893424099,0
17031832900,102,776238.6442476406,34355.859969989775,0
17031833000,300,7791640.875367104,199010.39088435553,0
17031833100,211,5897705.325254714,144737.83625029237,0
17031833300,228,1913170.7728905985,74543.60718376478,0
17031833900,456,1730324.80281909,101273.66680931079,0
17031834000,703,1641784.1190217305,138309.11669187946,0
17031834300,3377,6233055.961981412,564386.000413113,0
17031834700,487,1266854.9004966244,100392.30119247161,0
17031834900,479,1197837.2545450972,97387.87186045972,0
17031835100,1585,4103661.826447669,293551.2656996044,0
17031835800,145,700964.252879959,43400.06257840565,0
17031836000,305,1211034.683505528,74039.13889171224,0
17031836100,176,1999586.5200119,68318.94764426084,0
17031836200,156,4011651.700965599,101225.63321445984,0
17031836300,70,465409.95759445627,24691.821066377866,0
17031836400,227,1113326.1287399526,63138.19046664303,0
17031836600,680,2962974.870149591,151059.74298876186,0
17031836700,555,4576074.882075667,161241.09790519532,0
17031837300,350,1279774.9943919368,70530.04364296571,0
17031837400,404,1534901.6161298554,85381.01049507945,0
17031837800,434,5396794.931311665,169872.51922905643,0
17031838000,287,1321826.1212903738,67640.95806324053,0
17031838200,299,6778485.300129975,158268.62551001098,0
17031838700,531,1601264.0954191866,119402.38263333504,0
17031839000,93,2501066.573592074,72209.68653319201,0
17031839100,138,5148267.745797131,107990.5773082561,0
17031839200,89,1718202.0454815866,49377.95949978848,0
17031839500,187,629573.6664683246,41108.91949689468,0
17031839600,166,929500.9524014626,44784.70027342197,0
17031839700,1243,2694701.6705606095,221091.56733360808,0
17031839800,746,1440561.6474629503,135907.59241642422,0
17031839900,1627,6158963.862693034,332176.9539965489,0
17031840000,1009,2525881.514568908,184101.99903860377,0
17031840200,667,2056956.1578711055,133838.81835159333,0
