,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
1633,583.0,426.0,,2150.0,97.9,0.31,1739.0,0.81,7.4,0.12,145357.0,436200.0,37.3,3935.0,0.0,963.0,0.09,0.03,820.0,2584.0,220.0,0.0,-118.3057929,34.6300299,6037901213.0
1634,1135.0,1599.0,,1274.0,102.5,0.15,1777.0,0.48,5.8,0.64,65880.0,211900.0,44.3,6316.0,0.0,947.0,0.31,0.08,458.0,1442.0,615.0,0.0,-117.9263003,34.5941878,6037910001.0
1635,1563.0,2274.0,,1408.0,94.6,0.24,1777.0,0.48,5.4,0.67,64689.0,239500.0,48.0,8055.0,3.6,1032.0,0.37,0.12,444.0,1445.0,722.0,0.0,-117.9074722,34.5346329,6037910002.0
1636,359.0,514.0,,947.0,98.9,0.22,1777.0,0.33,4.7,0.73,52890.0,231900.0,42.1,1802.0,4.3,1243.0,0.57,0.13,375.0,1625.0,206.0,0.0,-118.0270881,34.6056671,6037910101.0
1637,654.0,1041.0,,1486.0,104.3,0.17,1527.0,0.41,5.4,0.54,73823.0,245400.0,49.9,3996.0,4.3,781.0,0.41,0.07,632.0,1757.0,316.0,0.0,-118.1350954,34.615092,6037910201.0
1638,910.0,672.0,,1527.0,94.9,0.32,1991.0,0.72,7.8,0.29,123223.0,515600.0,30.1,5925.0,0.0,991.0,0.13,0.06,697.0,2738.0,371.0,0.0,-118.1750288,34.6286399,6037910202.0
1639,222.0,337.0,,1538.6825581395349,103.1,0.23,1456.0,0.51,6.2,0.51,98168.0,427500.0,41.2,1367.0,0.0,845.0,0.2,0.17,540.0,2345.0,123.0,0.0,-118.1303796,34.5379495,6037910205.0
1640,952.0,1409.0,,1828.0,90.7,0.26,1991.0,0.45,6.9,0.37,105370.0,318100.0,39.1,5863.0,0.0,1456.0,0.23,0.11,563.0,2042.0,454.0,0.0,-118.1753866,34.595584,6037910207.0
1641,1199.0,1670.0,,1464.0,91.3,0.3,1828.0,0.49,6.1,0.54,80973.0,282700.0,39.9,6252.0,8.2,845.0,0.28,0.06,454.0,1818.0,474.0,0.0,-118.155582,34.5966435,6037910208.0
1642,810.0,893.0,,1816.0,83.6,0.24,1991.0,0.58,7.1,0.28,115539.0,332300.0,37.4,4842.0,0.0,1083.0,0.2,0.06,608.0,1926.0,450.0,0.0,-118.1984139,34.6069598,6037910209.0
