,Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,GEOID,typology_x,typ_cat_x,label_x,Unnamed: 0,tract_y,typology_y,typ_cat_y,label_y,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
1370,5749.02,0.10,0.00,0.04,0.13,0.00,0.10,0.02,0.04,0.07,0.14,0.27,0.12,0.02,0.06,0.25,0.91,0.80,0.00,0.02,0.80,0.41,0.34,0.09,0.42,0.11,0.06,0.05,0.76,0.03,0.73,0.72,0.05,0.03,0.54,0.13,0.07,0.55,0.12,0.02,0.24,0.20,264.0,434.0,30.8,52674.0,65735.0,1917.0,0.0,6.9,4.0,534700.00,2288.0,625.0,1840.0,5010.0,1631.0,1571.0,1754.0,5528.0,90.6,23.7,574902.0,6037574902.0,1.0,['LISD'],0.0,2209.0,574902.0,1.0,['LISD'],0.0,CA,803318,0,0.31,0.0,33.7913351,-118.1378252
1371,5750.01,0.07,0.00,0.04,0.10,0.01,0.06,0.09,0.01,0.08,0.17,0.30,0.08,0.03,0.05,0.10,0.95,0.84,0.01,0.00,0.67,0.20,0.45,0.08,0.36,0.15,0.02,0.00,0.87,0.13,0.50,0.45,0.05,0.02,0.47,0.18,0.09,0.57,0.13,0.01,0.19,0.26,228.0,346.0,30.5,80250.0,87947.0,1769.0,0.0,5.3,4.1,479000.00,2394.0,,1875.0,3763.0,855.0,805.0,1699.0,3763.0,105.5,34.8,575001.0,6037575001.0,7.0,['ARE'],0.0,2681.0,575001.0,7.0,['ARE'],0.0,CA,946903,0,0.366,0.0,33.7947006,-118.1471208
1372,5750.02,0.06,0.00,0.05,0.06,0.05,0.09,0.05,0.03,0.08,0.11,0.27,0.14,0.05,0.03,0.08,0.95,0.74,0.00,0.00,0.56,0.24,0.35,0.07,0.49,0.10,0.01,0.03,0.85,0.02,0.62,0.42,0.08,0.04,0.39,0.20,0.15,0.62,0.08,0.00,0.18,0.29,451.0,510.0,30.2,71094.0,87139.0,1977.0,3.3,2.9,4.5,517200.00,2376.0,610.0,1647.0,4692.0,1093.0,1034.0,1867.0,5045.0,98.7,35.5,575002.0,6037575002.0,6.0,['SMMI'],0.0,1164.0,575002.0,6.0,['SMMI'],0.0,CA,965016,0,0.373,0.0,33.7857831,-118.1434681
1373,5751.01,0.05,0.00,0.04,0.09,0.03,0.15,0.06,0.02,0.04,0.11,0.20,0.16,0.05,0.05,0.06,0.84,0.37,0.00,0.00,0.78,0.13,0.55,0.14,0.27,0.10,0.10,0.05,0.83,0.20,0.44,0.47,0.27,0.06,0.18,0.14,0.09,0.60,0.13,0.01,0.17,0.53,516.0,598.0,28.6,40114.0,54674.0,1541.0,0.0,4.8,4.1,363700.00,1972.0,483.0,1296.0,4350.0,1331.0,1311.0,1470.0,4350.0,85.2,28.8,575101.0,6037575101.0,1.0,['LISD'],0.0,2384.0,575101.0,1.0,['LISD'],0.0,CA,421541,0,0.163,0.0,33.7881302,-118.1623973
1374,5751.02,0.05,0.00,0.04,0.17,0.05,0.08,0.05,0.00,0.05,0.13,0.18,0.17,0.06,0.02,0.08,0.89,0.40,0.00,0.01,0.88,0.17,0.37,0.15,0.22,0.13,0.16,0.14,0.82,0.24,0.47,0.49,0.34,0.09,0.11,0.07,0.09,0.52,0.11,0.01,0.21,0.59,310.0,801.0,23.6,32698.0,41286.0,1252.0,0.0,0.0,3.7,372900.00,2100.0,,1100.0,4071.0,1690.0,1631.0,1252.0,4143.0,91.0,31.3,575102.0,6037575102.0,1.0,['LISD'],0.0,1391.0,575102.0,1.0,['LISD'],0.0,CA,405960,0,0.157,0.0,33.7844124,-118.1621912
1375,5751.03,0.07,0.01,0.09,0.06,0.02,0.11,0.09,0.03,0.05,0.09,0.23,0.15,0.03,0.05,0.04,0.86,0.55,0.00,0.00,0.85,0.19,0.45,0.10,0.29,0.11,0.03,0.03,0.89,0.21,0.58,0.57,0.12,0.08,0.23,0.16,0.09,0.49,0.17,0.03,0.10,0.48,260.0,659.0,28.2,50719.0,59667.0,2119.0,0.0,2.3,3.7,296100.00,1777.0,479.0,1202.0,4925.0,1214.0,1105.0,2068.0,4952.0,89.1,32.2,575103.0,6037575103.0,2.0,['OD'],0.0,2210.0,575103.0,2.0,['OD'],0.0,CA,482518,0,0.186,0.0,33.7861934,-118.1534873
1376,5752.01,0.09,0.00,0.07,0.13,0.01,0.12,0.10,0.01,0.05,0.10,0.21,0.09,0.08,0.02,0.08,0.89,0.41,0.00,0.00,0.79,0.16,0.39,0.23,0.23,0.14,0.14,0.07,0.87,0.18,0.53,0.46,0.25,0.13,0.12,0.08,0.11,0.38,0.16,0.03,0.28,0.52,382.0,994.0,30.5,39550.0,50147.0,1354.0,3.5,1.2,3.9,368900.00,1700.0,419.0,1079.0,4653.0,1563.0,1541.0,1305.0,4714.0,102.5,29.6,575201.0,6037575201.0,2.0,['OD'],0.0,1776.0,575201.0,2.0,['OD'],0.0,CA,566596,0,0.219,0.0,33.7864873,-118.1767949
1377,5752.02,0.16,0.01,0.07,0.10,0.04,0.10,0.08,0.01,0.04,0.12,0.15,0.17,0.07,0.05,0.10,0.88,0.36,0.00,0.00,0.85,0.20,0.43,0.15,0.37,0.09,0.18,0.16,0.90,0.19,0.56,0.48,0.40,0.14,0.14,0.05,0.09,0.55,0.07,0.00,0.23,0.67,480.0,933.0,31.7,40952.0,49740.0,1307.0,0.0,6.1,3.8,385600.00,1864.0,,1064.0,4371.0,2032.0,1977.0,1206.0,4371.0,94.7,28.9,575202.0,6037575202.0,2.0,['OD'],0.0,1168.0,575202.0,2.0,['OD'],0.0,CA,404091,0,0.156,0.0,33.7858671,-118.1704604
1378,5754.01,0.05,0.00,0.06,0.10,0.07,0.06,0.15,0.01,0.00,0.13,0.16,0.18,0.05,0.03,0.10,0.71,0.24,0.00,0.02,0.96,0.20,0.46,0.18,0.30,0.10,0.21,0.17,0.37,0.14,0.59,0.43,0.31,0.19,0.07,0.07,0.07,0.66,0.08,0.05,0.03,0.82,638.0,834.0,34.6,31509.0,47495.0,1284.0,0.0,6.7,3.4,426700.00,,,1010.0,4515.0,2132.0,2120.0,1201.0,4853.0,109.6,28.0,575401.0,6037575401.0,1.0,['LISD'],0.0,1778.0,575401.0,1.0,['LISD'],0.0,CA,821449,68477,0.317,0.026,33.7863532,-118.200174
1379,5754.02,0.07,0.01,0.12,0.16,0.02,0.04,0.07,0.02,0.05,0.12,0.10,0.19,0.09,0.01,0.05,0.74,0.28,0.00,0.00,0.86,0.22,0.40,0.17,0.24,0.13,0.21,0.17,0.88,0.25,0.62,0.48,0.31,0.26,0.08,0.04,0.06,0.64,0.07,0.00,0.05,0.84,378.0,914.0,29.9,46429.0,50711.0,1070.0,0.0,5.2,3.6,271700.00,1729.0,295.0,1109.0,4059.0,2053.0,2046.0,1012.0,4113.0,107.0,28.5,575402.0,6037575402.0,2.0,['OD'],0.0,2454.0,575402.0,2.0,['OD'],0.0,CA,323805,0,0.125,0.0,33.7862264,-118.1915438
