,EDUCATIONAL ATTAINMENT Less than 9th grade,HEALTH INSURANCE COVERAGE With private health insurance,Construction,White,"Educational services, and health care and social assistance",Retail trade,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Median age (years),Mean travel time to work (minutes),Sex ratio (males per 100 females),GROSS RENT Occupied units paying rent Median (dollars),YEAR OF ENTRY Foreign born,relation_min_fee,Total population,Own children of the householder under 6 years,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Mean household income (dollars),VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),relation_max_fee,Total housing units,Own children of the householder 6 to 17 years,Rental vacancy rate,"Professional, scientific, and management, and administrative and waste management services","Arts, entertainment, and recreation, and accommodation and food services",ROOM Median rooms,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,Black or African American,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",VEHICLES AVAILABLE No vehicles available,Hispanic or Latino (of any race),HOUSING TENURE Renter-occupied,PLACE OF BIRTH Native Different state,VEHICLES AVAILABLE 3 or more vehicles available,geoid,label
1598,0.04,0.54,0.04,0.02,0.42,0.1,0.68,32.0,47.4,70.06,1296.0,1617.0,1089.0,4600.0,431.0,2210.0,87195.0,361600.0,668.0,1506.0,1349.0,666.0,7.0,0.06,0.07,5.4,0.17,0.89,0.07,0.28,0.07,0.43,0.09,0.06,36081040400.0,0.0
1599,0.44,0.24,0.24,0.52,0.08,0.14,0.69,29.3,46.0,128.7,1392.0,2133.0,1376.0,3291.0,246.0,3714.0,49076.0,609400.0,721.0,1648.0,803.0,357.0,4.944467353951887,0.1,0.22,4.0,0.36,0.02,0.12,0.77,0.96,0.88,0.02,0.0507865168539326,36081040500.0,1.0
1600,0.32,0.28,0.16,0.34,0.1,0.12,0.65,31.1,42.7,126.68,1434.0,5326.0,1241.0,8285.0,888.0,2654.0,54628.0,543200.0,832.0,1483.0,2034.0,957.0,1.5,0.01,0.32,4.2,0.41,0.05,0.14,0.7,0.9,0.82,0.02,0.01,36081040700.0,0.0
1601,0.47,0.26,0.21,0.33,0.11,0.18,0.82,32.8,43.0,139.73,1440.0,4213.0,1241.0,6046.0,639.0,3350.0,61107.0,635400.0,995.0,1483.0,1364.0,770.0,4.944467353951887,0.04,0.2,3.8,0.23,0.06,0.12,0.59,0.86,0.77,0.1021207729468604,0.02,36081040900.0,0.0
1602,0.34,0.28,0.14,0.48,0.09,0.19,0.55,33.3,39.2,123.07,1432.0,2521.0,1241.0,3935.0,194.0,2797.0,63719.0,476300.0,823.0,1595.0,961.0,747.0,4.944467353951887,0.09,0.22,4.5,0.26,0.05,0.16,0.58,0.82,0.71,0.02,0.04,36081041100.0,0.0
1603,0.29,0.3,0.24,0.36,0.08,0.08,0.45,30.5,43.7,102.02,1632.0,2734.0,767.0,4705.0,560.0,3189.0,59863.0,612500.0,898.0,1603.0,1046.0,924.0,4.944467353951887,0.02,0.3,4.3,0.31,0.01,0.2,0.55,0.72,0.62,0.01,0.04,36081041300.0,0.0
1604,0.12,0.52,0.05,0.05,0.31,0.2,0.79,34.1,49.3,88.04,1331.0,1312.0,567.0,4103.0,328.0,2669.0,62149.0,382400.0,509.0,1736.0,1432.0,666.0,1.1,0.11,0.04,4.9,0.36,0.72,0.1,0.36,0.23,0.53,0.06,0.03,36081041400.0,0.0
1605,0.23,0.31,0.1,0.64,0.14,0.1,0.58,31.6,43.3,103.51,1376.0,2292.0,767.0,4056.0,440.0,2647.0,46808.0,580500.0,922.0,1632.0,1198.0,637.0,4.944467353951887,0.1,0.2,4.0,0.3,0.03,0.11,0.58,0.76,0.74,0.01,0.04,36081041500.0,0.0
1606,0.02,0.66,0.06,0.01,0.41,0.12,0.81,40.4,47.5,83.94,1436.0,534.0,1089.0,2496.0,128.0,2804.0,95204.0,455800.0,788.0,1736.0,792.0,269.0,4.944467353951887,0.06,0.05,6.2,0.18,0.94,0.08,0.23,0.03,0.19,0.11,0.14,36081042400.0,0.0
1607,0.26,0.12,0.0572485962225625,0.48,0.2769769673704416,0.1009221902017294,0.6239601990049735,72.4,41.23394143062887,692.19,1391.8300338000963,65.0,1159.0,507.0,302.47256977863333,2637.827457264957,82813.30739673392,582861.2010443864,835.5364006988934,1491.0,1645.193083573487,516.2725961538462,4.944467353951887,0.1218260451705915,1.0,4.305475504322766,0.295782901056677,0.47,0.13,0.4873439000960621,0.13,0.6364073006724306,0.22,0.0507865168539326,36081042600.0,0.0
1608,0.28,0.27,0.18,0.51,0.11,0.14,0.75,31.5,42.7,126.6,1504.0,3328.0,1168.0,5393.0,555.0,3643.0,65609.0,627700.0,1209.0,1632.0,1318.0,826.0,3.3,0.12,0.24,4.1,0.32,0.01,0.1,0.65,0.84,0.76,0.01,0.04,36081042700.0,0.0
1609,0.01,0.73,0.04,0.01,0.35,0.09,0.77,36.9,47.3,91.41,1550.0,390.0,567.0,1403.0,70.0,2526.0,95490.0,451600.0,723.0,1736.0,423.0,240.0,4.944467353951887,0.11,0.08,6.2,0.15,0.93,0.06,0.12,0.06,0.2,0.07,0.08,36081043200.0,0.0
1610,0.06,0.7,0.1,0.02,0.35,0.08,0.82,35.5,52.0,89.38,1736.0,746.0,567.0,1818.0,167.0,2800.0,89617.0,365700.0,719.0,1550.0,537.0,232.0,4.944467353951887,0.08,0.01,5.9,0.2,0.76,0.09,0.19,0.07,0.16,0.07,0.12,36081043400.0,0.0
1611,0.15,0.44,0.16,0.56,0.17,0.21,0.73,41.3,48.6,110.38,1365.0,1743.0,1126.0,3425.0,224.0,1605.0,69864.0,412000.0,708.0,1504.0,866.0,510.0,4.944467353951887,0.04,0.1,3.9,0.34,0.1,0.17,0.43,0.71,0.73,0.02,0.11,36081043701.0,0.0
1612,0.15,0.42,0.05,0.49,0.2,0.13,0.37,37.4,39.7,103.06,1408.0,3540.0,767.0,6033.0,342.0,2637.827457264957,51691.0,166700.0,545.0,1488.0,2329.0,791.0,4.944467353951887,0.13,0.1,3.7,0.22,0.15,0.09,0.61,0.6,0.49,0.07,0.01,36081043702.0,1.0
1613,0.23,0.27,0.11,0.7,0.15,0.19,0.77,32.6,46.3,142.87,1488.0,2859.0,767.0,4357.0,522.0,3199.0,58093.0,464800.0,907.0,1632.0,1245.0,680.0,4.944467353951887,0.11,0.22,4.1,0.35,0.01,0.15,0.55,0.85,0.69,0.01,0.06,36081043900.0,0.0
1614,0.13,0.45,0.02,0.01,0.35,0.07,0.84,33.7,45.1,113.73,1440.0,1550.0,1247.0,3766.0,238.0,2372.0,67340.0,359000.0,645.0,1736.0,1285.0,648.0,3.4,0.13,0.11,5.0,0.29,0.77,0.15,0.37,0.16,0.37,0.1,0.04,36081044000.0,1.0
1615,0.29,0.34,0.14,0.37,0.13,0.1,0.83,34.3,37.4,96.57,767.0,1987.0,1376.0,3442.0,360.0,2449.0,35956.0,472200.0,517.0,1632.0,1496.0,441.0,7.6,0.08,0.18,3.2,0.27,0.09,0.1,0.59,0.61,0.82,0.04,0.01,36081044301.0,0.0
1616,0.25,0.45,0.07,0.33,0.21,0.11,0.5,34.8,41.2,126.0,1422.0,3166.0,767.0,4902.0,323.0,2979.0,59384.0,603400.0,913.0,1632.0,1513.0,557.0,5.7,0.12,0.2,4.2,0.22,0.1,0.09,0.53,0.5,0.68,0.02,0.01,36081044302.0,0.0
1617,0.2,0.33,0.08,0.14,0.25,0.13,0.75,35.8,50.0,94.74,1247.0,2013.0,1296.0,3182.0,179.0,1975.0,52168.0,369600.0,738.0,1736.0,1047.0,470.0,4.944467353951887,0.11,0.14,4.5,0.36,0.26,0.17,0.58,0.37,0.73,0.02,0.04,36081044400.0,1.0
1618,0.23,0.35,0.07,0.28,0.18,0.05,0.52,35.7,55.6,89.55,1164.0,2029.0,1206.0,3247.0,440.0,1090.0,46160.0,137500.0,835.5364006988934,1616.0,1273.0,287.0,4.944467353951887,0.07,0.23,3.0,0.26,0.22,0.1,0.68,0.52,0.8,0.03,0.0507865168539326,36081044601.0,1.0
1619,0.18,0.33,0.04,0.1,0.2,0.11,0.72,32.8,43.8,82.2,1206.0,2679.0,1164.0,4843.0,348.0,3163.0,44670.0,400000.0,950.0,1616.0,1463.0,808.0,3.4,0.08,0.19,3.2,0.28,0.28,0.12,0.61,0.31,0.85,0.04,0.01,36081044602.0,0.0
1620,0.16,0.42,0.13,0.11,0.28,0.11,0.63,35.1,45.5,93.8,1395.0,1882.0,1164.0,2936.0,185.0,3581.0,80994.0,614600.0,780.0,1616.0,837.0,466.0,2.9,0.08,0.08,4.8,0.22,0.09,0.11,0.22,0.27,0.53,0.01,0.05,36081044800.0,1.0
1621,0.07,0.51,0.02,0.27,0.19,0.14,0.64,39.6,43.1,106.53,1426.0,1326.0,893.0,2183.0,131.0,2402.0,92958.0,535300.0,822.0,1616.0,598.0,259.0,4.944467353951887,0.18,0.14,5.4,0.22,0.04,0.04,0.2,0.27,0.41,0.04,0.1,36081045000.0,0.0
1622,0.15,0.67,0.0572485962225625,0.32,0.46,0.04,0.46,54.6,45.2,58.38,1455.0,431.0,893.0,1096.0,71.0,4000.0,66661.0,538000.0,429.0,1616.0,194.0,106.0,4.944467353951887,0.02,0.17,5.3,0.26,0.25,0.05,0.14,0.11,0.64,0.1,0.0507865168539326,36081045200.0,0.0
1623,0.11,0.49,0.05,0.06,0.23,0.12,0.81,39.5,43.1,101.11,1616.0,2891.0,1206.0,4543.0,321.0,1978.0,77298.0,310000.0,329.0,1490.0,1512.0,532.0,4.944467353951887,0.11,0.07,3.9,0.28,0.13,0.07,0.3,0.09,0.56,0.02,0.06,36081045400.0,0.0
1624,0.11,0.53,0.04,0.31,0.23,0.08,0.6239601990049735,35.7,43.1,99.56,1451.0,6393.0,767.0,14205.0,1577.0,2637.827457264957,54588.0,582861.2010443864,835.5364006988934,1422.0,4894.0,2262.0,4.944467353951887,0.11,0.14,3.7,0.32,0.53,0.08,0.65,0.29,1.0,0.05,0.02,36081045500.0,1.0
1625,0.13,0.52,0.05,0.03,0.35,0.1,0.7,36.0,43.5,94.59,1694.0,869.0,1220.0,1368.0,62.0,2565.0,86874.0,590000.0,1000.0,1567.0,328.0,131.0,4.944467353951887,0.07,0.17,5.8,0.28,0.12,0.07,0.23,0.08,0.39,0.07,0.14,36081045600.0,0.0
