tract_id,house_num,shape_area,shape_length,target
06037135201,1003,5972302.661198346,269591.7584246884,0
06037135202,1578,5655671.67559991,378513.2714765599,0
06037135203,2501,8558239.975786068,590703.0911511171,0
06037137103,283,3406530.534408828,121351.20258133154,0
06037137104,1141,8135414.623097749,339806.0258218943,0
06037137201,1304,6370745.704278971,356090.2871898967,0
06037137301,987,3575241.0275241705,245890.8881489438,0
06037137302,1652,7308004.15285343,440988.73904340435,0
06037137401,1620,5420075.875011692,371026.630395125,0
06037137402,1782,7575906.141031998,460746.712936572,0
06037137501,980,6988068.052080072,338520.69827244536,0
06037137502,1627,6188411.579555315,380748.06465100055,0
06037137504,735,3303460.6115048407,201264.18237537003,0
06037139001,1461,4572731.410286402,315130.2796824808,0
06037139301,1875,7541578.918610023,472306.42589460226,0
06037139302,140,2466871.7162803854,92353.6287265044,0
06037139303,201,2790614.1287597716,111406.5110748045,0
06037139401,470,4078917.4744082345,161805.0147163592,0
06037139402,1232,7435230.575404711,394385.14769913093,0
06037139502,1089,3776025.08790886,250741.38079744385,0
06037139503,159,4064744.488549483,124366.16187363556,0
06037139504,114,2120921.49343611,74419.26074190234,0
06037139701,1972,9543219.232465805,531740.4000566774,0
06037139702,2384,11462868.030878335,685544.6568351141,0
06037139703,1084,5127310.819943886,302041.01523934136,0
06037139801,1367,6565812.477074353,388885.1391222825,0
06037139802,1453,6694132.206722644,402814.3332989467,0
06037141101,600,3289895.197617556,178115.06800520554,0
06037141102,631,2535916.650546612,158684.9356966501,0
06037141201,421,3058661.9535740567,136401.36901120315,0
06037141202,484,2451630.153515777,132371.18635160552,0
06037141302,988,5394326.796444744,267058.91783529223,0
06037141303,109,2064949.5208035766,70030.12710878908,0
06037141304,447,2402879.8584382166,126101.4984004575,0
06037143602,722,5261990.184033431,245322.2411403176,0
06037143603,341,1789645.843831597,95676.15864595285,0
06037143604,155,1990528.0836454395,70591.93466884503,0
06037143901,1798,7662776.407025752,464863.66467844683,0
